Age,Income,Credit_History,Loan_Amount,Existing_Debt,Employment_Status,Credit_Score
51,28569,1,45640,14703,1,0.0
27,17086,1,34967,17694,1,0.0
53,12317,0,30795,7191,0,0.0
31,46389,2,33798,15058,0,0.0
48,14491,1,47726,18724,1,0.0
32,25916,1,38835,19904,0,0.0
25,25248,1,36461,4056,1,0.0
31,12511,2,38495,17470,0,0.0
40,34226,0,21627,12855,1,0.0
57,35025,0,31361,15772,1,0.0
38,17848,0,5711,259,0,0.0
33,24274,0,16085,1656,1,0.0
62,40958,2,32726,11147,1,0.0
35,45233,2,12924,11311,1,0.0
64,26304,2,20549,6290,0,0.0
41,21294,1,13462,5913,0,0.0
43,36425,2,47757,7973,1,0.0
42,13175,0,7560,16975,0,0.0
62,37775,2,26523,9624,0,0.0
58,19425,1,24944,13305,1,0.0
46,36013,0,7177,10679,0,0.0
32,37928,2,25098,228,1,1.0
62,18210,0,40846,15643,1,0.0
18,12759,0,32475,9560,1,0.0
42,26091,2,47736,18008,1,0.0
24,10002,2,37447,3979,0,0.0
26,40160,1,26416,13575,1,0.0
41,30707,2,19120,739,0,0.0
18,25248,2,7948,6521,0,0.0
61,15773,2,7520,19558,0,0.0
25,22786,0,12269,5049,1,0.0
41,25037,1,31961,19031,1,0.0
28,11885,0,18336,5386,1,0.0
34,49828,2,19020,4571,1,1.0
25,26331,1,32280,15287,1,0.0
52,32495,2,48478,14260,1,0.0
52,23450,0,21746,6594,1,0.0
50,19491,0,7256,13185,0,0.0
22,19268,2,45120,12572,0,0.0
59,37757,1,32712,7480,1,0.0
56,16791,0,17836,17569,1,0.0
58,49939,2,30711,16973,0,0.0
45,38314,2,9358,4217,1,1.0
24,38583,2,16339,7648,0,0.0
26,31550,1,37039,17519,0,0.0
25,10093,2,26245,13550,1,0.0
29,45755,2,22259,19804,1,0.0
51,19967,0,12129,10750,0,0.0
50,26218,2,47112,1,0,0.0
40,18627,1,45573,17275,1,0.0
41,14947,2,46588,7882,0,0.0
54,49419,1,16211,13086,1,0.0
52,33178,2,35197,12748,1,0.0
61,38876,2,20628,19937,1,0.0
57,32908,2,31300,16308,1,0.0
39,45912,1,22512,11849,0,0.0
44,29971,0,25945,15317,1,0.0
52,42584,1,46723,12341,1,0.0
18,18959,0,38787,13778,0,0.0
52,38261,1,26408,4204,0,0.0
54,49462,2,25311,8471,0,0.0
64,25835,2,40609,18082,1,0.0
31,29257,0,16139,11079,0,0.0
20,13346,0,43245,2884,0,0.0
18,40807,1,46634,3579,1,0.0
22,40418,1,22610,7195,0,0.0
43,21340,0,33952,2251,0,0.0
31,43012,0,18568,4640,0,0.0
56,45393,1,29899,18740,0,0.0
44,46617,0,48798,15993,1,0.0
26,19597,0,17002,12815,1,0.0
32,35557,0,12529,10123,1,0.0
32,17737,0,23069,19798,0,0.0
43,27276,2,8712,9200,0,0.0
59,17310,2,44826,12904,0,0.0
30,45167,0,24328,18462,1,0.0
49,47408,1,22711,2714,0,0.0
56,29344,2,10906,6947,1,0.0
49,20391,1,34107,1338,1,0.0
21,20892,1,22813,12782,0,0.0
47,21197,2,14153,6614,0,0.0
54,23050,1,36679,741,0,0.0
40,46142,1,34588,733,1,0.0
56,23535,0,28770,13944,0,0.0
62,15122,0,23852,1806,0,0.0
32,19852,0,24612,13285,0,0.0
60,15387,2,35907,10570,0,0.0
46,41759,0,35171,11457,0,0.0
53,49994,1,20448,1753,1,1.0
30,47876,1,8966,7358,0,0.0
49,44878,1,46876,14587,1,0.0
24,43725,1,26401,5857,1,1.0
39,17146,1,26539,1024,0,0.0
45,10560,2,39018,9674,1,0.0
19,11312,1,9688,3554,1,0.0
59,28205,2,25457,9971,0,0.0
62,21595,1,41555,11908,1,0.0
23,32030,2,46899,4566,1,0.0
45,31329,2,36379,14022,1,0.0
45,48142,1,15470,11157,1,0.0
61,12651,1,43426,10952,0,0.0
61,20006,1,14193,6894,1,0.0
37,45645,1,39980,7082,0,0.0
47,31966,0,44635,11946,1,0.0
28,37846,0,44731,19752,1,0.0
45,31774,2,27077,2629,0,0.0
42,14083,2,49097,6661,1,0.0
56,43513,0,41759,6275,1,0.0
50,18749,2,14295,10227,0,0.0
18,40783,1,19735,13674,0,0.0
44,27325,2,8032,1719,0,0.0
30,28680,2,48773,9233,0,0.0
58,27323,2,41671,3487,0,0.0
20,32684,0,34897,5844,0,0.0
56,44493,0,30836,8751,0,0.0
23,22213,2,41438,11416,0,0.0
25,41831,1,26278,6462,1,1.0
44,37713,2,26902,18184,0,0.0
26,17187,0,41091,10003,1,0.0
54,42800,1,12120,15498,1,0.0
50,42583,2,12859,4262,1,1.0
59,24408,0,37867,146,0,0.0
61,32369,1,35611,12732,0,0.0
41,13414,2,41424,2117,1,0.0
32,29510,0,11786,5447,0,0.0
49,22120,1,38461,10855,0,0.0
49,44311,2,26185,318,0,0.0
41,43039,1,45977,12161,0,0.0
58,15295,1,36190,12323,1,0.0
29,30460,1,8709,5749,0,0.0
56,24963,0,24154,254,1,0.0
19,21580,2,25859,9528,0,0.0
20,32286,1,9209,8526,1,1.0
54,37328,1,28379,11283,1,0.0
34,29093,1,19846,4393,0,0.0
19,31605,0,23003,1044,0,0.0
19,16722,1,30426,12765,1,0.0
45,46912,0,47856,18175,1,0.0
40,48374,0,30551,16119,0,0.0
54,16766,1,23900,18903,0,0.0
49,25928,1,17380,961,0,0.0
50,31274,0,14707,3749,0,0.0
18,44416,0,29379,4565,1,0.0
36,30612,1,30068,7516,0,0.0
19,44898,0,11906,19198,0,0.0
61,39047,0,20895,16973,0,0.0
43,47134,1,24420,18372,1,0.0
49,11506,1,20212,11031,0,0.0
23,25222,2,19323,10625,1,0.0
49,22363,1,37934,2989,0,0.0
21,29613,1,12348,5665,1,0.0
28,40628,1,5575,4541,1,1.0
34,14136,2,44939,18344,0,0.0
55,21161,0,20748,12386,1,0.0
41,45457,1,8343,8846,1,1.0
22,33574,1,47115,1078,0,0.0
51,36902,2,30391,3074,1,0.0
23,12810,2,27407,9547,0,0.0
39,21663,2,47495,5029,0,0.0
28,16152,0,48693,16272,0,0.0
33,10012,2,45747,15845,1,0.0
50,21162,0,14154,13104,1,0.0
26,32322,1,26555,15855,1,0.0
23,17999,1,31623,4756,1,0.0
33,17219,1,43177,4695,0,0.0
46,15328,2,42309,919,1,0.0
20,13621,1,25244,9938,0,0.0
37,34256,2,32927,1758,1,0.0
53,21314,0,6067,1831,1,0.0
36,10652,1,22265,9363,1,0.0
43,26182,0,11909,19662,0,0.0
20,46558,2,26416,16743,0,0.0
36,25659,2,19236,14255,0,0.0
37,44413,1,36365,3810,0,0.0
49,20435,1,31125,1440,1,0.0
24,38067,2,15929,11111,1,0.0
58,32258,1,46060,1719,1,0.0
50,38287,1,36411,11445,1,0.0
57,13688,0,20319,555,0,0.0
56,17689,2,40584,9425,0,0.0
35,11379,0,11411,12112,0,0.0
57,47011,1,36602,2297,1,0.0
18,37624,0,12204,1535,1,0.0
28,35964,2,23899,14931,1,0.0
45,32891,0,29517,6282,1,0.0
42,48379,0,39507,11494,1,0.0
40,22516,1,9052,1961,1,0.0
48,23886,2,43554,979,1,0.0
47,30307,1,17013,272,0,0.0
59,34843,1,42488,12775,0,0.0
52,15912,2,41494,5144,1,0.0
24,31514,0,5678,1688,1,0.0
33,31823,1,35352,15320,1,0.0
43,38797,0,14098,17979,1,0.0
19,16449,2,13459,16154,0,0.0
18,11725,1,43894,19626,0,0.0
29,25870,0,32679,4683,1,0.0
22,19304,0,37666,15123,0,0.0
54,17522,1,18227,5786,0,0.0
49,23663,2,9906,5129,1,0.0
26,14784,0,12898,2845,0,0.0
58,19472,2,38884,8448,1,0.0
52,38952,1,11344,16693,1,0.0
36,20055,0,46858,16262,1,0.0
33,39508,0,32366,9280,1,0.0
20,22676,0,15836,12923,0,0.0
37,35192,2,22442,13084,1,0.0
41,34722,0,45920,17560,1,0.0
50,17446,0,46747,19481,0,0.0
41,14725,1,17686,11422,1,0.0
28,30061,0,48604,1724,0,0.0
25,32671,2,15356,2628,0,0.0
53,11409,1,46163,17734,1,0.0
55,18205,1,32793,619,1,0.0
57,26365,0,7491,18932,0,0.0
37,10256,1,26206,13786,0,0.0
52,25704,0,18928,17361,1,0.0
42,39902,1,44772,9729,1,0.0
52,45758,2,16560,3772,1,1.0
42,11195,0,12011,2533,1,0.0
46,44012,2,27084,8669,1,1.0
35,21415,0,49518,18278,1,0.0
63,49534,2,33633,2040,1,0.0
35,31686,2,9862,17949,1,0.0
19,21662,1,43118,4268,0,0.0
52,38743,0,17682,2839,0,0.0
33,42161,1,16703,16851,0,0.0
58,12402,2,47379,11739,0,0.0
53,23275,0,20096,15058,1,0.0
50,38182,2,19106,19772,1,0.0
21,24915,2,5355,8176,1,0.0
50,10909,2,13432,6540,0,0.0
31,10372,2,20700,12412,0,0.0
38,32620,1,30196,2743,1,0.0
37,44112,2,36650,5642,0,0.0
25,18515,1,22238,10069,1,0.0
24,12431,2,49703,1026,1,0.0
20,31054,0,32776,3592,0,0.0
34,42624,2,11704,987,0,0.0
50,20585,2,25008,15917,1,0.0
29,41958,0,20379,7238,0,0.0
39,11695,0,47020,2747,1,0.0
39,44675,2,13573,8330,1,1.0
63,43787,2,27415,5650,1,1.0
47,11403,1,27566,4496,1,0.0
55,27810,0,6132,16820,0,0.0
55,18855,0,48798,17807,1,0.0
62,48636,1,39847,3721,0,0.0
25,20839,2,5944,17520,1,0.0
44,10010,2,10840,1145,0,0.0
44,49098,0,44442,9300,1,0.0
51,19230,1,48489,13929,1,0.0
38,45771,2,49278,6242,0,0.0
47,39256,0,38602,13832,1,0.0
50,35651,2,25134,14285,1,0.0
45,42383,2,9184,9097,1,1.0
64,49963,2,32963,15084,1,0.0
50,23662,0,12178,1992,0,0.0
22,23739,1,10168,4122,0,0.0
36,11789,1,37654,12290,1,0.0
21,29420,2,9991,17189,1,0.0
52,33761,1,13146,18376,1,0.0
34,47606,2,10290,19984,0,0.0
61,48640,0,29549,13541,1,0.0
45,47067,0,19844,4010,0,0.0
47,27357,0,33882,8275,0,0.0
46,49851,2,45919,3320,0,0.0
63,48262,1,5028,18889,0,0.0
23,21317,0,23244,7828,1,0.0
52,31534,2,12934,7885,1,1.0
58,35734,1,34845,18840,0,0.0
54,45897,1,40340,7248,0,0.0
41,42872,1,45819,7868,1,0.0
46,17689,2,25398,6349,1,0.0
63,13567,2,35061,3062,1,0.0
48,30732,2,7127,3852,1,1.0
52,30774,0,15083,13160,0,0.0
50,33195,2,24091,16322,1,0.0
38,47412,0,14933,387,0,0.0
49,32257,0,20877,14123,1,0.0
40,14394,0,39581,7037,0,0.0
50,46302,2,17519,6910,1,1.0
20,32228,0,12816,15758,1,0.0
35,22388,2,13351,2003,1,0.0
42,21319,2,20648,5745,1,0.0
59,16475,0,49002,17924,0,0.0
48,41555,0,32461,3547,1,0.0
20,28158,0,46264,9051,1,0.0
57,24728,2,49901,14456,0,0.0
63,39545,2,46359,301,0,0.0
41,41100,0,49480,7104,0,0.0
49,26150,0,44017,18403,0,0.0
64,43214,1,20441,9072,1,1.0
39,42876,0,44253,10473,1,0.0
40,13239,1,14177,16613,1,0.0
19,48699,1,39573,7710,1,0.0
44,46821,2,26431,16178,0,0.0
59,40615,2,26924,18216,1,0.0
19,23746,1,39864,8242,0,0.0
43,30921,1,17493,7496,1,1.0
34,32745,0,10337,13484,0,0.0
57,11245,1,21035,5887,0,0.0
50,34853,0,28318,17862,0,0.0
26,37632,2,47305,2088,0,0.0
60,22856,0,46190,6040,0,0.0
56,15105,2,8782,19377,0,0.0
46,45690,1,18798,13440,0,0.0
59,12513,1,24884,14421,0,0.0
43,12801,1,14074,19724,1,0.0
52,42345,0,32349,2343,0,0.0
42,23895,2,31907,7188,1,0.0
41,49749,2,26989,1238,0,0.0
30,18221,2,44187,12448,1,0.0
24,16038,2,13624,6856,1,0.0
53,42031,2,12889,10620,0,0.0
62,25082,0,32256,8374,1,0.0
37,24648,2,15455,8735,1,0.0
18,10364,1,16194,19210,1,0.0
25,44568,2,26622,92,0,0.0
63,24110,1,31988,2415,0,0.0
33,15958,0,12570,4254,0,0.0
31,19096,0,26487,10637,0,0.0
29,17436,1,5617,4533,1,0.0
40,31177,2,46277,6516,1,0.0
32,36754,0,11285,4401,1,0.0
45,34544,0,38224,3032,1,0.0
51,22638,0,5500,19673,0,0.0
19,10179,2,33994,10568,0,0.0
49,13873,1,41642,6867,0,0.0
40,27570,1,28014,14176,0,0.0
39,27157,2,9973,3234,1,0.0
42,14460,0,9774,6301,1,0.0
39,10352,2,20519,17517,1,0.0
39,31586,2,25580,11830,0,0.0
59,15344,1,28099,10589,1,0.0
23,14507,2,42484,2062,1,0.0
32,47598,2,47588,4627,1,0.0
60,42885,0,18302,19855,1,0.0
54,26865,0,8234,13142,1,0.0
50,47055,1,11494,468,1,1.0
25,37213,0,19239,1344,0,0.0
61,14477,2,9498,6098,1,0.0
61,16533,2,49198,12101,0,0.0
22,33396,2,10267,3807,0,0.0
56,22755,1,17546,4736,0,0.0
21,10865,0,29479,15375,1,0.0
23,21173,2,41437,19729,1,0.0
62,48097,0,14657,16972,0,0.0
49,43371,0,27453,3883,1,0.0
47,48524,0,39729,91,1,0.0
64,21254,0,22259,16841,1,0.0
52,14018,1,33645,1884,0,0.0
57,15192,1,17093,13432,1,0.0
33,12015,1,13734,14282,1,0.0
30,13380,2,8516,19505,0,0.0
59,38343,2,20032,14202,0,0.0
47,13770,2,25883,10231,1,0.0
36,15829,1,30594,7642,1,0.0
34,44381,0,45001,7952,0,0.0
36,25545,1,31004,9595,0,0.0
45,28263,2,18170,4482,0,0.0
43,48140,2,43715,1981,1,0.0
54,35675,0,21958,13918,1,0.0
43,35362,1,22842,9984,1,1.0
40,10148,0,45163,15813,1,0.0
26,11754,1,31075,4466,1,0.0
29,36745,2,31067,2231,1,0.0
18,17378,0,8172,8396,0,0.0
18,30140,0,41195,13241,1,0.0
64,19371,1,45566,10411,1,0.0
51,36999,1,12736,13112,0,0.0
49,22779,1,36268,9383,0,0.0
42,41075,2,48475,19699,0,0.0
57,40697,1,49511,11481,0,0.0
62,19795,2,9206,5175,0,0.0
18,48460,1,24348,17982,0,0.0
33,14218,1,41081,17926,0,0.0
56,47571,2,46641,8333,0,0.0
22,21672,1,29854,14460,0,0.0
39,41042,2,42226,89,1,0.0
46,45950,2,23032,5490,1,1.0
20,21009,1,34272,15287,1,0.0
29,29544,1,47118,10455,0,0.0
43,39381,0,45952,11704,1,0.0
33,35287,1,40109,17593,0,0.0
54,12586,0,39606,4978,0,0.0
39,12648,1,10538,3224,0,0.0
46,28101,2,49237,4856,0,0.0
31,31692,2,14533,17922,1,0.0
45,17407,0,35792,148,1,0.0
22,27254,1,10477,15263,0,0.0
64,25234,0,14363,17809,1,0.0
47,32211,1,17264,18101,1,0.0
63,39480,1,16819,9546,0,0.0
22,34846,2,17191,13538,1,0.0
29,25321,0,11499,14115,1,0.0
33,22646,2,49847,19019,1,0.0
43,32117,2,22668,16188,0,0.0
43,14893,2,13762,2363,1,0.0
38,19476,0,36292,3107,1,0.0
56,27270,1,24248,5628,0,0.0
53,31702,1,43813,17885,1,0.0
50,14382,0,49944,1451,1,0.0
47,11785,1,16333,16195,0,0.0
54,21735,0,35652,8641,0,0.0
40,40177,0,46406,18219,1,0.0
27,40712,1,18070,15180,0,0.0
22,26679,2,30856,12377,1,0.0
53,45365,0,36628,10780,0,0.0
51,27064,0,42807,19332,0,0.0
48,40563,0,28423,16333,0,0.0
27,43092,0,30212,17673,1,0.0
36,36867,1,40741,16887,1,0.0
49,43754,1,9626,3097,0,0.0
18,29502,0,45767,13588,0,0.0
22,10760,2,7292,18531,1,0.0
62,34142,1,19859,9657,0,0.0
21,27290,2,35585,4520,0,0.0
33,15499,2,21807,18281,0,0.0
41,10364,0,8819,13341,1,0.0
33,29797,1,29087,3716,1,0.0
19,42535,0,6280,14831,0,0.0
45,26105,0,18241,8842,0,0.0
49,17939,2,47779,1210,1,0.0
44,23936,2,19147,2187,1,0.0
37,25863,2,24816,8058,0,0.0
41,22561,0,6629,16752,0,0.0
29,20447,0,43267,10536,0,0.0
52,40624,0,13634,11463,1,0.0
50,22411,0,8014,2843,0,0.0
50,29465,0,15773,14335,1,0.0
60,48216,0,22881,19834,0,0.0
54,29642,0,13280,19902,0,0.0
29,41262,0,30555,6644,0,0.0
20,40363,1,46421,12546,1,0.0
18,12107,1,24936,9828,1,0.0
50,17928,1,32332,17528,0,0.0
57,29317,1,49588,19510,0,0.0
27,35017,0,32077,7660,0,0.0
60,23528,0,12637,17,1,0.0
61,23313,2,29955,13620,0,0.0
46,11559,2,25880,5999,0,0.0
30,25167,1,21155,18040,1,0.0
29,25343,2,8060,12397,1,0.0
48,48598,1,45278,12618,0,0.0
63,17523,0,7950,17980,1,0.0
19,38439,0,28802,1287,1,0.0
52,25524,2,11063,16651,1,0.0
40,23285,0,19205,434,1,0.0
34,20973,0,49690,18419,1,0.0
43,32694,1,31507,2497,1,0.0
25,45774,2,12661,6440,1,1.0
46,14302,0,41189,6037,1,0.0
43,32391,2,39758,7806,0,0.0
27,14611,0,18057,19592,0,0.0
43,19372,1,25240,1613,1,0.0
51,34312,0,39250,8910,1,0.0
58,24080,2,40313,12170,0,0.0
24,25082,2,41988,15756,0,0.0
21,40677,1,17491,18615,0,0.0
62,30874,0,38410,14747,0,0.0
28,18378,1,18332,11864,0,0.0
46,11597,2,25302,5695,1,0.0
53,21600,1,39354,13637,1,0.0
42,13747,0,23793,13878,0,0.0
38,23879,0,11504,4512,1,0.0
53,23017,1,33425,7960,0,0.0
27,34815,2,34811,13169,0,0.0
54,28964,2,34746,4886,1,0.0
26,38812,1,22225,3771,1,1.0
41,34714,0,44696,5904,1,0.0
52,28890,0,35973,13918,1,0.0
52,14725,0,42355,14425,0,0.0
53,30684,0,32196,15094,1,0.0
35,36325,2,24290,19896,0,0.0
56,42542,0,47954,11997,1,0.0
49,23092,1,15124,13578,1,0.0
41,40382,1,42824,11575,0,0.0
40,49770,1,43750,18228,0,0.0
49,35457,1,7272,3924,0,0.0
54,16131,0,11141,15701,1,0.0
29,35215,2,29678,13170,0,0.0
30,22612,0,14161,16918,1,0.0
40,47305,2,6071,7577,0,0.0
42,23091,0,22120,5730,0,0.0
52,45103,2,30941,8476,1,0.0
58,47089,1,44144,7987,1,0.0
47,39759,1,29133,10861,0,0.0
34,10559,2,8630,8695,0,0.0
37,10713,2,5227,4141,1,0.0
42,47361,2,44433,7936,1,0.0
39,25184,1,19008,18767,0,0.0
30,25261,1,24954,18831,0,0.0
36,30372,0,45761,4804,1,0.0
53,42140,2,19675,14315,0,0.0
29,43024,2,6619,19653,0,0.0
58,42544,2,17885,8568,1,1.0
36,10037,1,7204,9377,0,0.0
29,22697,2,45510,7062,1,0.0
26,41707,2,16694,19882,1,0.0
24,36016,1,49586,14379,0,0.0
45,44600,2,45342,2847,1,0.0
31,33984,0,14373,732,1,0.0
48,15167,1,16448,7313,1,0.0
36,10432,1,36210,19083,0,0.0
64,14151,1,30410,12809,0,0.0
33,16411,0,34028,2158,0,0.0
22,40788,1,7764,11486,1,0.0
52,36623,1,48369,4619,1,0.0
29,32104,1,16467,18577,0,0.0
42,10256,1,13199,10503,0,0.0
38,43439,0,32095,19390,1,0.0
53,43257,2,48179,1210,0,0.0
40,49657,2,37463,11606,1,0.0
33,28066,1,44007,18370,0,0.0
56,42746,0,18617,3170,0,0.0
62,12460,1,33304,18132,0,0.0
59,47297,2,8329,15558,0,0.0
56,44743,2,36193,17141,1,0.0
31,13216,0,16563,918,0,0.0
48,24267,2,10584,8897,1,0.0
22,19581,1,13805,11622,1,0.0
52,14515,0,30264,2861,0,0.0
40,32076,2,14089,1807,1,1.0
46,19776,1,18639,2649,1,0.0
60,31947,0,29685,4423,0,0.0
28,12963,1,16110,17679,0,0.0
35,16786,2,38928,9812,0,0.0
64,23866,1,49941,2442,0,0.0
29,48968,0,26128,7639,0,0.0
26,42305,1,45099,2595,0,0.0
27,27360,2,19684,13206,1,0.0
61,42813,0,29419,12364,1,0.0
34,11193,0,6527,17456,0,0.0
55,14512,2,20220,4075,1,0.0
24,32666,1,28702,9641,1,1.0
63,26630,1,47873,1771,1,0.0
30,18983,2,32757,17401,0,0.0
57,10636,0,18085,3692,0,0.0
59,13775,2,20205,18735,0,0.0
26,12421,0,25994,9327,0,0.0
44,23025,0,35945,19156,1,0.0
19,19280,1,25634,911,0,0.0
22,46951,2,47966,9007,0,0.0
46,21351,0,35569,17357,0,0.0
54,48091,1,35175,10154,1,0.0
55,40171,2,11626,13377,1,0.0
36,13644,2,40623,19486,1,0.0
25,26142,0,8964,1800,0,0.0
62,17773,0,23058,17192,0,0.0
18,38466,0,30766,5133,1,0.0
39,20778,2,40160,8761,1,0.0
34,22501,0,21262,969,1,0.0
24,12108,2,44646,4079,0,0.0
42,39369,1,39689,18263,0,0.0
62,46382,2,33965,15601,1,0.0
21,35818,0,15884,14688,1,0.0
53,20251,2,9433,3319,1,0.0
23,33341,0,23211,4705,0,0.0
48,21678,1,15691,6611,0,0.0
36,24367,0,36063,15259,1,0.0
61,39672,0,38484,387,1,0.0
56,14332,0,26244,13985,0,0.0
44,22002,0,29660,8067,1,0.0
27,30284,0,41536,13046,0,0.0
43,25700,0,40475,2489,0,0.0
36,23769,1,35084,8707,1,0.0
56,39318,1,29802,2890,0,0.0
20,34323,2,47267,12332,0,0.0
62,37610,0,25614,1442,0,0.0
30,16963,2,10033,722,0,0.0
45,17838,1,9386,8947,0,0.0
37,22243,1,17150,2250,0,0.0
45,37939,0,13157,18292,1,0.0
25,11845,0,35408,2586,0,0.0
58,26766,2,12675,8577,0,0.0
56,46880,1,31228,6773,0,0.0
18,22780,2,23251,11207,0,0.0
20,11509,2,28349,15073,0,0.0
30,33957,2,20826,12647,1,0.0
45,44346,0,14124,8190,0,0.0
42,27263,1,11588,4087,0,0.0
50,36148,2,35943,5078,1,0.0
55,41533,1,33034,8142,0,0.0
23,22931,1,27151,12492,1,0.0
61,11359,2,37400,19702,1,0.0
62,34532,2,18536,3038,0,0.0
49,30344,0,7700,9264,1,0.0
62,14242,1,31074,14413,1,0.0
64,30601,2,13809,768,0,0.0
38,29116,2,20115,9178,0,0.0
33,45477,1,24071,11298,1,0.0
38,40782,2,43100,5557,1,0.0
28,28880,1,28190,10551,0,0.0
54,13499,2,26440,16580,0,0.0
53,41587,1,31080,18691,0,0.0
52,36020,2,49927,1389,0,0.0
36,18080,2,37947,6739,0,0.0
37,33207,0,12996,19942,1,0.0
35,43957,1,48545,10773,1,0.0
64,23908,0,19862,10263,1,0.0
58,40652,2,43232,19374,1,0.0
31,40344,1,28104,13386,0,0.0
32,35034,1,22305,9861,1,1.0
48,35788,2,40860,15258,1,0.0
18,22751,2,10527,15817,1,0.0
20,43793,2,49559,6253,0,0.0
33,42839,2,18727,6233,0,0.0
40,48314,1,34967,12324,0,0.0
28,45453,0,28849,4667,0,0.0
29,19385,1,7719,10418,1,0.0
27,28232,1,17924,16111,1,0.0
49,44790,1,14215,14055,1,0.0
33,25831,1,29588,9123,1,0.0
25,30125,2,30290,6988,1,0.0
55,27682,0,25009,13755,1,0.0
29,46870,1,36912,9734,1,0.0
41,27288,1,6144,15936,1,0.0
45,45794,0,42302,1992,0,0.0
25,49477,2,19635,11898,1,0.0
45,34405,1,38488,4059,1,0.0
53,48737,2,6006,6893,0,0.0
43,12620,1,16490,11741,1,0.0
25,45414,1,32044,19528,1,0.0
45,47633,0,12099,15389,0,0.0
45,45057,0,28500,15706,0,0.0
54,23854,2,5537,9726,1,0.0
58,19677,1,16016,15876,0,0.0
53,34074,2,40453,13034,0,0.0
44,27824,0,6980,19058,0,0.0
34,10765,0,10906,4548,0,0.0
26,41615,0,38307,14263,1,0.0
50,46860,0,28430,1552,0,0.0
37,22975,0,49844,6014,0,0.0
30,19341,2,33629,13106,1,0.0
45,38141,2,32775,17776,0,0.0
46,22334,0,45029,15396,0,0.0
30,25835,1,35398,16243,0,0.0
63,36548,1,46988,8572,1,0.0
52,45434,1,5051,648,0,0.0
23,35039,1,29818,12533,0,0.0
35,42530,1,6686,4660,0,0.0
22,48736,0,24205,11609,0,0.0
64,28565,2,27947,820,0,0.0
42,19834,0,13096,16855,0,0.0
19,46656,1,47800,15920,1,0.0
27,10840,1,13616,16505,0,0.0
47,23873,2,48087,16290,1,0.0
62,41568,0,13545,7695,1,0.0
22,20846,2,41458,4876,1,0.0
50,15899,1,13484,19179,1,0.0
18,30502,1,5716,4216,0,0.0
35,10565,2,28667,18570,0,0.0
49,48773,1,34200,2134,0,0.0
64,19187,0,9575,2177,0,0.0
28,17226,1,25956,18683,0,0.0
38,48658,1,15670,17767,0,0.0
43,14311,0,20637,11693,1,0.0
42,35689,1,21346,4142,0,0.0
39,16083,2,31940,18352,0,0.0
44,22598,2,38405,11854,1,0.0
30,26940,1,45747,2472,0,0.0
50,36880,0,14491,15300,1,0.0
51,12580,0,17631,13018,0,0.0
